NomeProducao,NomeItem,Quantidade,CustoUnitario,CustoTotalDeItem,CustoProducao
Produção padrao - 12 kits(com 4) ICATU,Leite Cond.,3,  R$4.88,  R$14.64,R$66.72
Produção padrao - 12 kits(com 4) ICATU,Creme de leite,2,  R$2.09,  R$4.18,
Produção padrao - 12 kits(com 4) ICATU,Gas,1,  R$5.00,  R$5.00,
Produção padrao - 12 kits(com 4) ICATU,Embalagem,11,  R$3.90,  R$42.90,
